email,role,item_code,variant,variant_desctiption,variant_order,vendor,stock_quantity,__v,createdAt,updatedAt
vendor@gmail.com,Vendor,A219CW,0,“x”,1,11,0,0,1658910158305,1658910158305
vendor@gmail.com,Vendor,A2QKEM,0,“x”,1,11,2,0,1658910158308,1658910158308
vendor@gmail.com,Vendor,A2QK3M,0,“x”,1,11,2,0,1658910158308,1658910158308
vendor@gmail.com,Vendor,A2QJRM,0,“x”,1,11,1,0,1658910158308,1658910158308
vendor@gmail.com,Vendor,A2C9B32-A11,0,“x”,1,11,1,0,1658910158308,1658910158308
vendor@gmail.com,Vendor,A427RM,0,“x”,1,11,0,0,1658910158308,1658910158308
vendor@gmail.com,Vendor,A2QGXM,0,“x”,1,11,3,0,1658910158308,1658910158308
vendor@gmail.com,Vendor,A2AR8M,0,“x”,1,11,0,0,1658910158309,1658910158309
vendor@gmail.com,Vendor,A24H6M,0,“x”,1,11,0,0,1658910158309,1658910158309
vendor@gmail.com,Vendor,A26N4-033,0,“x”,1,11,1,0,1658910158309,1658910158309
vendor@gmail.com,Vendor,A1XG2W,0,“x”,1,11,0,0,1658910158309,1658910158309
vendor@gmail.com,Vendor,A29DNM,0,“x”,1,11,0,0,1658910158309,1658910158309
vendor@gmail.com,Vendor,A2EZYM,0,“x”,1,11,3,0,1658910158309,1658910158309
vendor@gmail.com,Vendor,A2CDNM,0,“x”,1,11,0,0,1658910158309,1658910158309
vendor@gmail.com,Vendor,D15NQB01422-9999,0,“x”,1,11,0,0,1658910158310,1658910158310
vendor@gmail.com,Vendor,J15CNA01415-8011,0,“x”,1,11,0,0,1658910158310,1658910158310
vendor@gmail.com,Vendor,U026QC00022-1006,0,“x”,1,11,5,0,1658910158310,1658910158310
vendor@gmail.com,Vendor,U029FB00022-6006,0,“x”,1,11,1,0,1658910158310,1658910158310
vendor@gmail.com,Vendor,U159XA08522-4002,0,“x”,1,11,0,0,1658910158310,1658910158310
vendor@gmail.com,Vendor,U15BYA0006K-4064,0,“x”,1,11,1,0,1658910158310,1658910158310
vendor@gmail.com,Vendor,U15D7D06K85-4585,0,“x”,1,11,0,0,1658910158310,1658910158310
vendor@gmail.com,Vendor,D158UA00021-9B7R,0,“x”,1,11,1,0,1658910158310,1658910158310
vendor@gmail.com,Vendor,D02HNA00020-6004,0,“x”,1,11,1,0,1658910158310,1658910158310
vendor@gmail.com,Vendor,U162VC00045-6009,0,“x”,1,11,0,0,1658910158311,1658910158311
vendor@gmail.com,Vendor,D16HXB046FU-0007,0,“x”,1,11,1,0,1658910158311,1658910158311
vendor@gmail.com,Vendor,D16QSA02285-9002,0,“x”,1,11,0,0,1658910158311,1658910158311
vendor@gmail.com,Vendor,U15BYA0006K-9997,0,“x”,1,11,0,0,1658910158311,1658910158311
vendor@gmail.com,Vendor,J04CSB0FUME-9002,0,“x”,1,11,2,0,1658910158311,1658910158311
vendor@gmail.com,Vendor,B254WB00085-8172,0,“x”,1,11,2,0,1658910158311,1658910158311
vendor@gmail.com,Vendor,D25QXE0AL22-H85Q,0,“x”,1,11,4,0,1658910158311,1658910158311
vendor@gmail.com,Vendor,J15AWC0BU85-4231,0,“x”,1,11,0,0,1658910158311,1658910158311
vendor@gmail.com,Vendor,M2521GT2600-4399,0,“x”,1,11,0,0,1658910158311,1658910158311
vendor@gmail.com,Vendor,U16CQD0MEBU-4002,0,“x”,1,11,0,0,1658910158312,1658910158312
vendor@gmail.com,Vendor,U16DQA085FU-1236,0,“x”,1,11,1,0,1658910158312,1658910158312
vendor@gmail.com,Vendor,U25A7A011PT-0043,0,“x”,1,11,1,0,1658910158312,1658910158312
vendor@gmail.com,Vendor,U25DWA000NB-4002,0,“x”,1,11,0,0,1658910158312,1658910158312
vendor@gmail.com,Vendor,D25QFA046BN-1ZB5,5,“x”,5,12,4,0,1658910158312,1658910158312
vendor@gmail.com,Vendor,M2521GT2600-1603,4,“x”,4,12,1,0,1658910158312,1658910158312
vendor@gmail.com,Vendor,M2510GT2870-3408,1,“x”,1,12,4,0,1658910158312,1658910158312
vendor@gmail.com,Vendor,M2510GT2870-1492,2,“x”,2,12,0,0,1658910158312,1658910158312
vendor@gmail.com,Vendor,M2510GT2870-4386,42,“x”,5,12,0,0,1658910158312,1658910158312
